Tipo,Nome,N,Percent
Módulo,src/utils/iphoneHelper.ts,15,34.1%
Módulo,src/components/DropdownComponent/index.tsx,25,24.3%
Módulo,src/components/PlanCard/index.tsx,27,22.7%
Módulo,src/pages/Plan/index.tsx,14,11.9%
Módulo,src/hooks/index.tsx,1,6.3%
Módulo,src/pages/CreditCardRegister/index.tsx,11,4.4%
Módulo,src/components/CartItemCard/index.tsx,2,3.7%
Módulo,src/pages/Home/index.tsx,4,3.7%
Módulo,src/pages/Cart/index.tsx,7,3.6%
Módulo,src/pages/Notifications/index.tsx,2,3.4%
Módulo,src/components/StoreCard/index.tsx,1,3.3%
Módulo,src/components/ProductViewCard/index.tsx,1,2.6%
Módulo,src/components/ProductCard/index.tsx,1,1.9%
Módulo,src/pages/History/index.tsx,2,1.8%
Módulo,src/routes/tab.routes.tsx,1,1.8%
Módulo,src/hooks/AuthProvider.tsx,2,1.1%
Módulo,src/pages/StoreDetails/index.tsx,2,0.7%
Módulo,src/pages/BillingAddress/index.tsx,1,0.6%
