Tipo,Nome,N
Módulo,src/pages/Home/index.tsx,31
Módulo,src/pages/StoreDetails/index.tsx,15
Módulo,src/pages/CreditCardRegister/index.tsx,14
Módulo,src/pages/Cart/index.tsx,13
Módulo,src/hooks/CartProvider.tsx,12
Módulo,src/pages/ProductPage/index.tsx,8
Módulo,src/hooks/AuthProvider.tsx,7
Módulo,src/pages/SignIn/index.tsx,6
Módulo,src/components/UserHeader/index.tsx,5
Módulo,src/pages/AddressForm/index.tsx,5
Módulo,src/pages/Search/index.tsx,5
Módulo,src/utils/iphoneHelper.ts,5
Módulo,src/components/ExtractModal/index.tsx,4
Módulo,src/components/Input/index.tsx,4
Módulo,src/pages/History/index.tsx,4
Módulo,src/pages/SearchResult/index.tsx,3
Módulo,src/pages/Notifications/index.tsx,3
Módulo,src/pages/Plan/index.tsx,3
Módulo,src/pages/SelectCSA/index.tsx,3
Módulo,src/components/PlanCard/index.tsx,2
Módulo,src/pages/BillingAddress/index.tsx,2
Módulo,src/pages/SignUp/index.tsx,2
Módulo,src/pages/StoreDetails/styles.ts,2
Módulo,src/services/api.ts,1
Módulo,src/utils/index.ts,1
Módulo,src/components/RadioButton/index.tsx,1
Módulo,src/components/Button/index.tsx,1
Módulo,src/components/TextButton/index.tsx,1
Módulo,src/pages/ProfileInfo/index.tsx,1
Módulo,src/pages/Profile/index.tsx,1
Módulo,src/hooks/StoresProvider.tsx,1
Módulo,src/components/UserHeader/styles.ts,1
Módulo,src/components/Input/styles.ts,1
